Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu,Party/Parti,Party Code
Alberta,Calgary Shepard,48011,147520,115565,283,73559,99.4,416,.6,73975,64,Tom Kmiec,Conservative/Conservateur,CPC
Alberta,Calgary Signal Hill,48012,121392,89020,237,59707,99.4,332,.6,60039,67.4,Ron Liepert,Conservative/Conservateur,CPC
Alberta,Calgary Skyview,48013,135730,87956,217,47433,99,502,1,47935,54.5,George Chahal,Liberal/Libéral,LIB
Alberta,Edmonton Centre/Edmonton-Centre,48014,109941,79203,207,49148,99.3,342,.7,49490,62.5,Randy Boissonnault,Liberal/Libéral,LIB
Alberta,Edmonton Griesbach,48015,112287,81685,230,43059,98.9,495,1.1,43554,53.3,Blake Desjarlais,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
Alberta,Edmonton Manning,48016,121048,90163,171,49226,99.1,429,.9,49655,55.1,Ziad Aboultaif,Conservative/Conservateur,CPC
Alberta,Edmonton Mill Woods,48017,118561,77695,196,48514,99.2,380,.8,48894,62.9,Tim Uppal,Conservative/Conservateur,CPC
Alberta,Edmonton Riverbend,48018,120863,86420,184,56928,99.5,312,.5,57240,66.2,Matt Jeneroux,Conservative/Conservateur,CPC
Alberta,Edmonton Strathcona,48019,106066,76037,214,52223,99.4,317,.6,52540,69.1,Heather McPherson,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
Alberta,Edmonton West/Edmonton-Ouest,48020,121869,91388,187,55989,99.5,302,.5,56291,61.6,Kelly McCauley,Conservative/Conservateur,CPC
Alberta,Edmonton--Wetaskiwin,48021,158749,133800,266,86843,99.3,576,.7,87419,65.3,Mike Lake,Conservative/Conservateur,CPC
Alberta,Foothills,48022,113227,89956,262,64216,99.6,251,.4,64467,71.7,John Barlow,Conservative/Conservateur,CPC
Alberta,Fort McMurray--Cold Lake,48023,110230,77398,228,43150,99.2,327,.8,43477,56.2,Laila Goodridge,Conservative/Conservateur,CPC
Alberta,Grande Prairie--Mackenzie,48024,117327,84343,237,53140,99.4,315,.6,53455,63.4,Chris Warkentin,Conservative/Conservateur,CPC
Alberta,Lakeland,48025,108451,79059,264,52651,99.6,229,.4,52880,66.9,Shannon Stubbs,Conservative/Conservateur,CPC
Alberta,Lethbridge,48026,117394,90847,253,58973,99.5,282,.5,59255,65.2,Rachael Harder,Conservative/Conservateur,CPC
Alberta,Medicine Hat--Cardston--Warner,48027,106896,79992,226,48414,99.4,274,.6,48688,60.9,Glen Motz,Conservative/Conservateur,CPC
Alberta,Peace River--Westlock,48028,109965,75685,240,46789,99.6,198,.4,46987,62.1,Arnold Viersen,Conservative/Conservateur,CPC
Alberta,Red Deer--Lacombe,48030,128786,95567,268,61979,99.4,348,.6,62327,65.2,Blaine Calkins,Conservative/Conservateur,CPC
Alberta,Red Deer--Mountain View,48029,119019,90474,261,63320,99.6,278,.4,63598,70.3,Earl Dreeshen,Conservative/Conservateur,CPC
Alberta,St. Albert--Edmonton,48031,121313,94889,246,62340,99.5,338,.5,62678,66.1,Michael Cooper,Conservative/Conservateur,CPC
Alberta,Sherwood Park--Fort Saskatchewan,48032,122193,97600,266,71398,99.6,298,.4,71696,73.5,Garnett Genuis,Conservative/Conservateur,CPC
Alberta,Sturgeon River--Parkland,48033,120784,95719,258,66476,99.5,331,.5,66807,69.8,Dane Lloyd,Conservative/Conservateur,CPC
Alberta,Yellowhead,48034,101979,75205,233,50792,99.4,294,.6,51086,67.9,Gerald Soroka,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Abbotsford,59001,101814,76429,160,45050,99.2,370,.8,45420,59.4,Ed Fast,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Burnaby North--Seymour/Burnaby-Nord--Seymour,59002,102486,79852,189,49184,99.4,273,.6,49457,61.9,Terry Beech,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Burnaby South/Burnaby-Sud,59003,111973,80092,189,40608,99.3,291,.7,40899,51.1,Jagmeet Singh,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Cariboo--Prince George,59004,108907,85636,231,50713,99.5,267,.5,50980,59.5,Todd Doherty,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Central Okanagan--Similkameen--Nicola,59005,110293,100229,245,64210,99.3,466,.7,64676,64.5,Dan Albas,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Chilliwack--Hope,59006,100126,85809,211,52160,99.5,250,.5,52410,61.1,Mark Strahl,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Cloverdale--Langley City,59007,117640,88348,200,53250,99.1,508,.9,53758,60.8,John Aldag,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Coquitlam--Port Coquitlam,59008,123576,93787,217,55716,99.3,402,.7,56118,59.8,Ron McKinnon,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Courtenay--Alberni,59009,114647,106293,267,69250,99.7,215,.3,69465,65.4,Gord Johns,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Cowichan--Malahat--Langford,59010,108052,99024,247,63032,99.5,306,.5,63338,64,Alistair MacGregor,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Delta,59011,103064,78282,179,52305,99.4,300,.6,52605,67.2,Carla Qualtrough,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Esquimalt--Saanich--Sooke,59026,120834,103129,239,65542,99.1,565,.9,66107,64.1,Randall Garrison,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Fleetwood--Port Kells,59012,116958,81024,208,47185,99.1,417,.9,47602,58.8,Ken Hardie,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Kamloops--Thompson--Cariboo,59013,124358,107548,295,70448,99.5,324,.5,70772,65.8,Frank Caputo,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Kelowna--Lake Country,59014,119388,106585,231,67142,99.5,346,.5,67488,63.3,Tracy Gray,Conservative/Conservateur,CPC
